"","Reef_2","Site","Transect","Depth_m","Habitat","Aspect_descriptive","Benthic_Complexity","cropper","browser","detritivore","excavator","scraper"
"112","Osprey","OSPR-01","T15",52.4,"outer_slope","steep_slope",4,0.0541933602631763,0,0,1.60999394598541,0.321969527238908
"113","Osprey","OSPR-01","T15",70.2,"outer_slope","steep_slope",3,0,0,0,0,0
"114","Osprey","OSPR-01","T16",38.2,"outer_slope","wall",3,0.181538400138144,0,0,0,0.380912679441037
"115","Osprey","OSPR-01","T16",66.2,"outer_slope","steep_slope",3,0.230186382832285,0,0,0,0
"116","Osprey","OSPR-01","T17",35.3,"outer_slope","steep_slope",3,0.290770076470799,0.898496172805912,0.0397725742790147,0,0.528635095382916
"117","Osprey","OSPR-01","T17",64.6,"outer_slope","steep_slope",3,0,0,0,0,0
"118","Osprey","OSPR-01","T18",33.3,"outer_slope","wall",3,0.15555305184167,0,0.0501546153641876,0,0
"119","Osprey","OSPR-01","T18",57.2,"outer_slope","steep_slope",2,0,0,0,0,0
"120","Osprey","OSPR-01","T19",28.2,"outer_slope","wall",3,0.163171231175488,1.48979131635871,0,1.63125548669272,1.70902473118079
"121","Osprey","OSPR-01","T19",53.2,"outer_slope","steep_slope",3,0,2.4938879506975,0,0,0
"122","Osprey","OSPR-01","T2",85.1,"outer_slope","steep_slope",3,0,0,0,0,0
"123","Osprey","OSPR-01","T2",98.8,"outer_slope","wall",4,0,0,0,0,0
"124","Osprey","OSPR-01","T20",25.1,"outer_slope","steep_slope",3,0,0,0,0,0
"125","Osprey","OSPR-01","T20",64.6,"outer_slope","steep_slope",3,0,0,0,0,0
"126","Osprey","OSPR-01","T21",21.8,"outer_slope","steep_slope",3,1.06476358615162,1.39271952739023,0.0529049725325839,0.332422892609202,0.2612479303808
"127","Osprey","OSPR-01","T21",52.8,"outer_slope","steep_slope",4,0.00882166086984377,0,0,4.13873279062148,0
"128","Osprey","OSPR-01","T22",18.8,"outer_slope","wall",3,1.06475051502323,0,0,0,0.589767026026416
"129","Osprey","OSPR-01","T22",47.8,"outer_slope","moderate_slope",2,0.550137365773551,0,0.233584203527831,0,0
"130","Osprey","OSPR-01","T23",16.4,"outer_slope","wall",3,0.181724020365905,0,0,2.01720574458813,0.170076603874925
"131","Osprey","OSPR-01","T23",44.7,"outer_slope","moderate_slope",1,0,0,0,0,0
"132","Osprey","OSPR-01","T24",14.1,"outer_slope","wall",3,0.343888788103219,0,0.816280381861542,0,0
"133","Osprey","OSPR-01","T24",41.2,"outer_slope","wall",4,0.0481521478934961,0,0,0,0
"134","Osprey","OSPR-01","T25",9.1,"outer_slope","wall",3,0.764812109416147,0,1.2567774780121,22.2374433026237,0.151052801387134
"135","Osprey","OSPR-01","T25",32.8,"outer_slope","moderate_slope",3,0.0240107798316314,0,0.0597062087559106,0,0
"136","Osprey","OSPR-01","T26",7.1,"outer_slope","wall",3,0,0,1.14921656334522,1.29154456079843,0.897711457221042
"137","Osprey","OSPR-01","T26",35.7,"outer_slope","gentle_slope",3,0.0493071708665345,0,0.0538504209345238,0,0
"138","Osprey","OSPR-01","T27",7,"outer_slope","steep_slope",3,0,1.05063375560715,0.920965905615176,4.64410357553092,0
